Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Points,Year
Costa Rica,3,1,0,2,3,11,3,2014
Denmark,3,0,1,2,1,3,1,2014
Serbia,3,0,1,2,5,8,1,2014
Wales,3,0,1,2,1,6,1,2014
Canada,3,0,0,3,2,7,0,2014
Qatar,3,0,0,3,1,7,0,2014
Germany,7,6,1,0,18,4,19,2014
Argentina,7,5,1,1,8,4,16,2018
Netherlands,7,5,2,0,15,4,17,2018
Brazil,7,3,2,2,11,14,11,2018
Colombia,5,4,0,1,12,4,12,2018
Belgium,5,4,0,1,6,3,12,2018
France,5,3,1,1,10,3,10,2018
Costa Rica,5,2,3,0,5,2,9,2018
Chile,4,2,1,1,6,4,7,2018
Mexico,4,2,1,1,5,3,7,2018
Switzerland,4,2,0,2,7,7,6,2018
Uruguay,4,2,0,2,4,6,6,2018
Greece,4,1,2,1,3,5,5,2018
Algeria,4,1,1,2,7,7,4,2018
United States,4,1,1,2,5,6,4,2018
Nigeria,4,1,1,2,3,5,4,2018
Ecuador,3,1,1,1,3,3,4,2018
Portugal,3,1,1,1,4,7,4,2018
Croatia,3,1,0,2,6,6,3,2018
Bosnia and Herzegovina,3,1,0,2,4,4,3,2018
Ivory Coast,3,1,0,2,4,5,3,2018
Italy,3,1,0,2,2,3,3,2018
Spain,3,1,0,2,4,7,3,2018
Russia,3,0,2,1,2,3,2,2018
Ghana,3,0,1,2,4,6,1,2018
England,3,0,1,2,2,4,1,2018
South Korea,3,0,1,2,3,6,1,2018
Iran,3,0,1,2,1,4,1,2018
Japan,3,0,1,2,2,6,1,2018
Australia,3,0,0,3,3,9,0,2018
Honduras,3,0,0,3,1,8,0,2018
Cameroon,3,0,0,3,1,9,0,2018
Spain,7,6,0,1,8,2,18,2010
Netherlands,7,6,0,1,12,6,18,2010
Germany,7,5,0,2,16,5,15,2010
Uruguay,7,3,2,2,11,8,11,2010
Argentina,5,4,0,1,10,6,12,2010
Brazil,5,3,1,1,9,4,10,2010
Ghana,5,2,2,1,5,4,8,2010
Paraguay,5,1,3,1,3,2,6,2010
Japan,4,2,1,1,4,2,7,2010
Chile,4,2,0,2,3,5,6,2010
Portugal,4,1,2,1,7,1,5,2010
United States,4,1,2,1,5,5,5,2010
England,4,1,2,1,3,5,5,2010
Mexico,4,1,1,2,4,5,4,2010
South Korea,4,1,1,2,6,8,4,2010
Slovakia,4,1,1,2,5,7,4,2010
Ivory Coast,3,1,1,1,4,3,4,2010
Slovenia,3,1,1,1,3,3,4,2010
Switzerland,3,1,1,1,1,1,4,2010
South Africa,3,1,1,1,3,5,4,2010
Australia,3,1,1,1,3,6,4,2010
New Zealand,3,0,3,0,2,2,3,2010
Serbia,3,1,0,2,2,3,3,2010
Denmark,3,1,0,2,3,6,3,2010
Greece,3,1,0,2,2,5,3,2010
Italy,3,0,2,1,4,5,2,2010
Nigeria,3,0,1,2,3,5,1,2010
Algeria,3,0,1,2,0,2,1,2010
France,3,0,1,2,1,4,1,2010
Honduras,3,0,1,2,0,3,1,2010
Cameroon,3,0,0,3,2,5,0,2010
North Korea,3,0,0,3,1,12,0,2010
